Departament,semester,code,name,cred,class,vacancies,occupied,day,start,length,prof,campus,building,room
Eng.MEC,2023 - II,ENG03125,INSTRUMENTAÇÃO-MEC,6,A,15,0,Seg,13:30,3,Guilherme Henrique Fiorot,undef,undef,undef
Eng.MEC,2023 - II,ENG03125,INSTRUMENTAÇÃO-MEC,6,A,15,0,Ter,15:30,3,JUAN PABLO RAGGIO QUINTAS,centro,Mecânica,MEZ 01
Eng.MEC,2023 - II,ENG03125,INSTRUMENTAÇÃO-MEC,6,B,15,0,Seg,13:30,3,Guilherme Henrique Fiorot,undef,undef,undef
Eng.MEC,2023 - II,ENG03125,INSTRUMENTAÇÃO-MEC,6,B,15,0,Qui,8:30,3,JUAN PABLO RAGGIO QUINTAS,centro,Mecânica,MEZ 01
Eng.MEC,2023 - II,ENG03125,INSTRUMENTAÇÃO-MEC,6,C,15,0,Seg,13:30,3,Guilherme Henrique Fiorot,undef,undef,undef
Eng.MEC,2023 - II,ENG03125,INSTRUMENTAÇÃO-MEC,6,C,15,0,Qui,15:30,3,JUAN PABLO RAGGIO QUINTAS,centro,Mecânica,MEZ 01
Eng.MEC,2023 - II,ENG03124,PROJETO INTEGRADO I-MEC,2,A,20,0,Seg,10:30,2,SIMONE RAMIRES,undef,undef,undef
Eng.MEC,2023 - II,ENG03126,PROJETO INTEGRADO II-MEC,2,A,20,0,Qua,13:30,1,Felipe Tempel Stumpf,undef,undef,undef
Eng.MEC,2023 - II,ENG03130,PROJETO INTEGRADO III-MEC,2,U,20,0,Seg,13:30,2,SIMONE RAMIRES,undef,undef,undef
Eng.MEC,2023 - II,ENG03129,METODOLOGIA CIENTÍFICA-MEC,2,U,20,0,Seg,7:30,2,LETICIA JENISCH RODRIGUES,centro,Mecânica,307
Eng.MEC,2023 - II,ENG03127,MÉTODOS GERENCIAIS DE MANUTENÇÃO,2,U,20,0,Sex,8:30,2,JUAN PABLO RAGGIO QUINTAS,undef,undef,undef
Eng.MEC,2023 - II,ENG03131,PROJETO DE TRABALHO DE CONCLUSÃO DE CURSO EM ENGENHARIA MECÂNICA,2,U,30,0,Ter,16:30,2,Diogo Elias Da Vinha Andrade,undef,undef,undef
