Departament,semester,code,name,cred,class,vacancies,occupied,day,start,length,prof,campus,building,room
PPGEE,2023 - Ix,ELExx220,Análise de Sistemas de Potência - A,4,U,5,5,Ter,10:30,2,ROBERTO CHOUHY LEBORGNE,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx220,Análise de Sistemas de Potência - A,4,U,5,5,Qui,10:30,2,ROBERTO CHOUHY LEBORGNE,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx218,Análise de Sistemas Magnéticos - A,4,U,5,5,Ter,13:30,2,ALY FLORES FILHO,undef,undef,undef
PPGEE,2023 - Ix,ELExx218,Análise de Sistemas Magnéticos - A,4,U,5,5,Qui,15:30,2,ALY FLORES FILHO,undef,undef,undef
PPGEE,2023 - Ix,ELExx320,Fundamentos de Comunicação,4,U,5,5,Ter,13:30,2,Ivan Müller,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx320,Fundamentos de Comunicação,4,U,5,5,Qui,15:30,2,Ivan Müller,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx318,Inteligência Computacional I,4,U,5,5,Ter,8:30,2,ALEXANDRE BALBINOT,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx318,Inteligência Computacional I,4,U,5,5,Qui,10:30,2,ALEXANDRE BALBINOT,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx302,Introdução à Otimização Matemática,4,U,5,5,Sex,8:30,2,SERGIO LUIS HAFFNER,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx302,Introdução à Otimização Matemática,4,U,5,5,Sex,10:30,2,SERGIO LUIS HAFFNER,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx214,Métodos de Elementos Finitos Aplicados a Campos - A,4,U,5,5,Seg,8:30,2,Paulo Roberto Eckert,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx214,Métodos de Elementos Finitos Aplicados a Campos - A,4,U,5,5,Seg,10:30,2,Paulo Roberto Eckert,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx319,Princípios de Sistemas de Controle,4,U,5,5,Seg,15:30,2,LUCIOLA CAMPESTRINI,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx319,Princípios de Sistemas de Controle,4,U,5,5,Qua,15:30,2,LUCIOLA CAMPESTRINI,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx314,Projeto de Máquinas Elétricas,4,U,5,5,Ter,17:30,2,LUÍS ALBERTO PEREIRA,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx314,Projeto de Máquinas Elétricas,4,U,5,5,Qui,17:30,2,LUÍS ALBERTO PEREIRA,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx209,Projeto e Análise de Circuitos Integrados,4,U,5,5,Sex,13:30,2,GILSON INACIO WIRTH,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx209,Projeto e Análise de Circuitos Integrados,4,U,5,5,Sex,15:30,2,GILSON INACIO WIRTH,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx202,Sistemas de Automação - A,4,U,5,5,Ter,15:30,2,CARLOS EDUARDO PEREIRA,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx202,Sistemas de Automação - A,4,U,5,5,Ter,17:30,2,CARLOS EDUARDO PEREIRA,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx301,Projeto e Análise de Dados Experimentais,4,U,5,5,Seg,15:30,1,VALNER JOAO BRUSAMARELLO,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx301,Projeto e Análise de Dados Experimentais,4,U,5,5,Seg,16:30,1,ALEXANDRE BALBINOT,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx301,Projeto e Análise de Dados Experimentais,4,U,5,5,Qua,15:30,1,VALNER JOAO BRUSAMARELLO,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx301,Projeto e Análise de Dados Experimentais,4,U,5,5,Qua,16:30,1,ALEXANDRE BALBINOT,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx223,Sistemas Lineares - A,4,U,5,5,Seg,13:30,1,AURÉLIO TERGOLINA SALTON,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx223,Sistemas Lineares - A,4,U,5,5,Seg,14:30,1,JEFERSON VIEIRA FLORES,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx223,Sistemas Lineares - A,4,U,5,5,Qua,13:30,1,AURÉLIO TERGOLINA SALTON,centro,Eletro,301a
PPGEE,2023 - Ix,ELExx223,Sistemas Lineares - A,4,U,5,5,Qua,14:30,1,JEFERSON VIEIRA FLORES,centro,Eletro,301a
