Departament,semester,code,name,cred,class,vacancies,occupied,day,start,length,prof,campus,building,room
PPGEE,2025 - I,ELExx202,Sistemas de Automação - A,4,U,5,5,Qua,8:30,2,CARLOS EDUARDO PEREIRA,centro,Eletro,202
PPGEE,2025 - I,ELExx202,Sistemas de Automação - A,4,U,5,5,Qua,10:30,2,CARLOS EDUARDO PEREIRA,centro,Eletro,202
PPGEE,2025 - I,ELExx309,Dispositivos e Circuitos Nano-Eletrônicos,4,U,5,5,Seg,8:30,2,GILSON INACIO WIRTH,centro,Eletro,301
PPGEE,2025 - I,ELExx309,Dispositivos e Circuitos Nano-Eletrônicos,4,U,5,5,Seg,10:30,2,GILSON INACIO WIRTH,centro,Eletro,301
PPGEE,2025 - I,ELExx218,Análise de Sistemas Magnéticos - A,4,U,5,5,Qui,8:30,2,ALY FLORES FILHO,centro,Eletro,301-A
PPGEE,2025 - I,ELExx218,Análise de Sistemas Magnéticos - A,4,U,5,5,Qui,10:30,2,ALY FLORES FILHO,centro,Eletro,301-A
PPGEE,2025 - I,ELExx305,Qualidade de Energia Elétrica,4,U,5,5,Sex,13:30,2,ROBERTO CHOUHY LEBORGNE,centro,Eletro,303
PPGEE,2025 - I,ELExx305,Qualidade de Energia Elétrica,4,U,5,5,Sex,15:30,2,ROBERTO CHOUHY LEBORGNE,centro,Eletro,303
PPGEE,2025 - I,ELExx312,Sistemas Não Lineares - B,4,U,5,5,Qua,13:30,2,JOAO MANOEL GOMES DA SILVA JUNIOR,centro,Eletro,301
PPGEE,2025 - I,ELExx312,Sistemas Não Lineares - B,4,U,5,5,Sex,13:30,2,JOAO MANOEL GOMES DA SILVA JUNIOR,centro,Eletro,301-A
PPGEE,2025 - I,ELExx223,Sistemas Lineares - A,4,U,5,5,Seg,13:30,1,JEFERSON VIEIRA FLORES,centro,Eletro,301-A
PPGEE,2025 - I,ELExx223,Sistemas Lineares - A,4,U,5,5,Seg,14:30,1,AURÉLIO TERGOLINA SALTON,centro,Eletro,301-A
