1,"cca I","Proposta pela comgrad cca",0
2,"delae s ele 1a","sem Eletronica",0
3,"promec 1o T","promec 1o Trimestre",0
4,"mec I","Proposta pela comgrad mec",0
5,"cca II","Proposta pela comgrad cca II",0
6,"mec II","Proposta pela comgrad mec II",0
10,"demec A","demec A (default)",0
11,"promec 3o T","promec 3o Trimestre",0
12,"promec 2o T","promec 2o Trimestre",0
13,"ene I","proposta pela comgrad ene",1
14,"ene II","proposta pela comgrad ene II",1
20,"delae c ele","com Eletronica",0
21,"delae s ele 2","sem eletronica 1 turma de Circ.II",0
22,"delae s ele 1b","sem elet.",0
23,"delet A","delet A",0
24,"delet B","delet B",0
25,"delet C","delet C",0
26,"ele I","Proposta pela comgrad ele I",0
27,"ele II","proposta pela comgrad ele II",0
